Acinetobacter_pittii	CP002177	48296	909768	UNKNOWN
Aeromonas_hydrophila	CP000462	644	642	UNKNOWN
Amycolatopsis_mediterranei	CP002000	33910	1813	UNKNOWN
Architeuthis_dux	NC_011581	256136	34555	UNKNOWN
Arcobacter_ellisii	CP032097	913109	28196	UNKNOWN
Arcobacter_cibarius	CP043857	255507	28196	UNKNOWN
Arripis_trutta	AP006810	270544	163128	UNKNOWN
Bacteroides_fragilis	AP006841	817	816	UNKNOWN
Bacteroides_thetaiotaomicron	AE015928	818	816	UNKNOWN
Bifidobacterium_adolenscentis	CP028341	1680	1678	UNKNOWN
Bifidobacterium_bifidum	CP001840	1681	1678	UNKNOWN
Bifidobacterium_longum	AE014295	216816	1678	UNKNOWN
Bordetella_bronchiseptica	HE965806	518	517	UNKNOWN
Bos_taurus	KC153975	9913	9903	UNKNOWN
Brachybacterium_faecium	CP001643	43669	43668	UNKNOWN
Bradyrhizobium_diazoefficiens	BA000040	1355477	374	UNKNOWN
Brassica_oleracea	JF920286	3712	3705	UNKNOWN
Buchnera_aphidicola	BA000003	9	32199	UNKNOWN
Candidatus_Desulforudis_audaxviator	CP000860	471827	471826	UNKNOWN
Chlamydia_pneumoniae	AE001363	83558	810	UNKNOWN
Caulobacter_vibrioides	CP001340	155892	75	UNKNOWN
Chlamydomonas_reinhardtii	AF008237	3055	3052	UNKNOWN
Corynebacterium_diphtheriae	CP091095	1717	1716	UNKNOWN
Corynebacterium_urealyticum	AM942444	43771	1716	UNKNOWN
Cronobacter_condimenti	CP012264	1163710	413496	UNKNOWN
Coxiella_burnetii	AE016828	777	776	UNKNOWN
Cronobacter_malonaticus	CP006731	413503	413496	UNKNOWN
Cronobacter_sakazakii	CP011047	28141	413496	UNKNOWN
Cronobacter_turicensis	FN543093	413502	413496	UNKNOWN
Deinococcus_radiodurans	AE000513	1299	1298	UNKNOWN
Deinococcus_radiodurans	AE001825	1299	1298	UNKNOWN
Desulfovibrio_vulgaris	AE017285	881	872	UNKNOWN
