scientificName	nuccoreAcc	taxid	parent
Campylobacter_hyointestinalis_hyointestinalis	CP015575	91352	198
Campylobacter_hyointestinalis_lawsonii	CP015575	91353	198
Campylobacter_insulaenigrae	CP007770	260714	194
Campylobacter_lanienae	CP015578	75658	194
Campylobacter_jejuni_jejuni	AL111168	32022	197
Campylobacter_lari	CP000932	201	194
Campylobacter_peloridis	CP007766	488546	194
Campylobacter_sputorum	CP019683	202	194
Campylobacter_subantarcticus	CP007772	497724	194
Campylobacter_volucris	CP007774	1031542	194
Campylobacter_ureolyticus	CP012195	827	194
Candidatus_Desulforudis_audaxviator	CP000860	471827	471826
Candidatus_Korarchaeum_cryptofilum	CP000968	374847	498846
Chlamydia_pneumoniae	AE001363	83558	810
Caulobacter_vibrioides	CP001340	155892	75
Chlamydomonas_reinhardtii	AF008237	3055	3052
Chlamydia_trachomatis	AE001273	813	810
Chlorobaculum_tepidum	AE006470	1097	256319
Chloroflexus_aurantiacus	CP000909	1108	1107
Citrobacter_freundii	CP007557	546	544
Citrobacter_amalonaticus	CP014070	35703	544
Clavibacter_michiganensis_sepedonicus	AM849034	31964	28447
Clostridioides_difficile	AM180355	1496	1870884
Clostridium_acetobutylicum	AE001437	1488	1485
Clostridium_argentinense	CP014176	29341	1485
Clostridium_baratii	CP014204	1561	1485
Clostridium_botulinum_groupI	CP001078	9000005	1491
Clostridium_botulinum_groupII	CP000939	9000004	1491
Clostridium_butyricum	CP013239	1492	1485
Corynebacterium_diphtheriae	CP091095	1717	1716
Clostridium_perfringens	CP000312	1502	1485
Corynebacterium_urealyticum	AM942444	43771	1716
Corynebacterium_glutamicum	BA000036	1718	1716
Cronobacter_condimenti	CP012264	1163710	413496
Coxiella_burnetii	AE016828	777	776
Cronobacter_dublinensis_dublinensis	CP012266	413498	413497
Cronobacter_malonaticus	CP006731	413503	413496
Cronobacter_muytjensii	CP012268	413501	413496
Cronobacter_sakazakii	CP011047	28141	413496
Cronobacter_turicensis	FN543093	413502	413496
Cronobacter_universalis	CP012257	535744	413496
Cryptosporidium_parvum	CM000430	353152	5806
Cryptosporidium_parvum	CM000429	353152	5806
Cryptosporidium_parvum	CM000431	353152	5806
Cryptosporidium_parvum	CM000432	353152	5806
Cryptosporidium_parvum	CM000433	353152	5806
Cryptosporidium_parvum	CM000434	353152	5806
Cryptosporidium_parvum	CM000435	353152	5806
Cryptosporidium_parvum	CM000436	353152	5806
Cryptosporidium_hominis	LN877948	237895	5806
Cryptosporidium_hominis	LN877947	237895	5806
Cryptosporidium_hominis	LN877950	237895	5806
Cryptosporidium_hominis	LN877949	237895	5806
Cryptosporidium_hominis	LN877951	237895	5806
Cryptosporidium_hominis	LN877952	237895	5806
Cryptosporidium_hominis	LN877953	237895	5806
Cryptosporidium_hominis	LN877954	237895	5806
Cupriavidus_taiwanensis	CU633750	164546	106589
Cupriavidus_taiwanensis	CU633749	164546	106589
Cyanothece	CP000806	43989	2546360
Cyanothece	CP000807	43989	2546360
Deinococcus_radiodurans	AE000513	1299	1298
Deinococcus_radiodurans	AE001825	1299	1298
Delftia_acidovorans	CP000884	80866	80865
Desulfovibrio_vulgaris	AE017285	881	872
Dictyoglomus_turgidum	CP001251	513050	13
Enterobacter_cloacae	CP001918	550	354276
Enterococcus_faecalis	AE016830	1351	1350
Enterococcus_faecium	CP003583	1352	1350
Escherichia_albertii	CP024282	208962	561
Escherichia_coli	CP027582	562	561
Escherichia_fergusonii	CP042945	564	561
Exiguobacterium_antarcticum	CP003063	132920	33986
Finegoldia_magna	AP008971	1260	150022
Francisella_philomiragia	CP063138	28110	262
Flavobacterium_psychrophilum	AM398681	96345	237
Francisella_tularensis	AJ749949	263	262
Fusobacterium_nucleatum	CP028101	851	848
Gallus_gallus	HQ857211	9031	9030
Gardnerella_vaginalis	CP002104	2702	2701
Geobacter_sulfurreducens	AE017180	35554	28231
Gloeobacter_violaceus	BA000045	33072	33071
Grimontia_hollisae	CP035690	673	246861
Grimontia_hollisae	CP035691	673	246861
Haemophilus_influenzae	L42023	727	724
Haemophilus_somnus	CP000947	228400	731
Halobacterium_salinarum	AM774415	478009	2242
Helianthus_annuus	MG770607	4232	4231
Helicobacter_pylori	AE000511	210	209
Heliobacterium_modesticaldum	CP000930	35701	2697
Humulus_lupulus	NC_086845	3486	3484
Homo_sapiens	J01415	9606	9605
Ketogulonicigenium_vulgare	CP002018	92945	92944
Klebsiella_aerogenes	CP002824	548	570
Klebsiella_pneumoniae	CP003200	573	570
Lactobacillus_acidophilus	CP000033	1579	1578
Lactobacillus_plantarum	AL935263	1590	1578
Lactobacillus_paracasei	CP000423	1597	655183
Lactococcus_lactis	AE005176	1358	1357
Lactobacillus_salivarius	CP000233	1624	1578
Lactuca_sativa	MK820672	75943	4235
Legionella_pneumophila	AE017354	446	445
Leptospira_biflexa	CP000777	355278	145259
Leptothrix_cholodnii	CP001013	34029	88
Leptospira_interrogans	CP020414	173	171
Leuconostoc_citreum	DQ489736	349519	33964
Listeria_grayi	LR134483	1641	1637
Listeria_innocua	CP045743	1642	1637
Listeria_ivanovii	FR687253	1638	1637
Listeria_marthii	CM001047	529731	1637
Listeria_monocytogenes_I	CP054040	9000000	1639
Listeria_monocytogenes_II	CP054042	9000001	1639
Listeria_monocytogenes_III	CP054039	9000002	1639
Listeria_monocytogenes_IV	CP054041	9000003	1639
Listeria_seeligeri	FN557490	1640	1637
Listeria_welshimeri	LT906444	1643	1637
Lysinibacillus_sphaericus	CP000817	444177	1421
Mesoplasma_florum	AE017263	2151	46239
Mesorhizobium_ciceri	CP002447	39645	68287
Methylobacterium	CP000943	426117	2615210
Methylobacterium_radiotolerans	CP001001	31998	407
Micrococcus_luteus	CP001628	1270	1269
Moorella_thermoacetica	CP012370	1525	44260
Morganella_morganii_morganii	CP004345	180434	582
Mycobacterium_abscessus	CU458896	36809	670516
Mycobacterium_leprae	AL450380	1769	1763
Mycobacterium_smegmatis	CP000480	1772	1866885
Mycobacterium_tuberculosis	AL123456	1773	77643
Mycoplasma_mycoides	BX293980	2102	656088
Mycoplasma_pneumoniae	U00089	2104	2093
Neisseria_gonorrhoeae	AE004969	485	482
Neisseria_meningitidis	AE002098	487	482
Neomysis_japonica	KR006340	1676841	223649
Ochrobactrum_anthropi	CP000758	529	528
Ochrobactrum_anthropi	CP000759	529	528
Pantoea_ananatis	CP001875	553	53335
Parabacteroides_distasonis	CP000140	823	375288
Photobacterium_damselae	CP046752	38293	657
Photobacterium_damselae	CP046751	38293	657
Pollachius_virens	FR751399	8060	8059
Polynucleobacter_necessarius	LT615228	576610	44013
Prochlorococcus_marinus	AE017126	1219	1218
Proteus_mirabilis	CP004022	584	583
Pseudomonas_aeruginosa	AE004091	287	136841
Pseudomonas_putida	AP013070	390235	303
Pyrobaculum_neutrophilum	CP001014	70771	2276
Pseudomonas_syringae_group_genomosp._3	AE016853	251701	136849
Rhodobacter_sphaeroides	CP000144	1063	1060
Rhodobacter_sphaeroides	CP000143	1063	1060
Rhodopirellula_baltica	BX119912	265606	265488
Rhodospirillum_rubrum	CP000230	1085	1081
Ruminococcus_sp.	CP039381	1263	541000
Rickettsia_prowazekii	AJ235269	782	114292
Salinibacter_ruber	CP000159	146919	146918
Salmonella_bongori	FR877557	54736	590
Salmonella_enterica_IIa	CP053411	9000010	28901
Salmonella_enterica_IIb	LR134141	9000011	28901
Salmonella_enterica_IIIa	CP000880	9000014	28901
Salmonella_enterica_IIIb	CP053583	9000015	28901
Salmonella_enterica_I	AE006468	59201	28901
Salmonella_enterica_IV	CP053579	59205	28901
Salmonella_enterica_IX	CP054715	9000016	28901
Salmonella_enterica_VII	CP053582	59208	28901
Salmonella_enterica_VIII	CP053318	9000009	28901
Salmonella_enterica_VI	CP053406	59207	28901
Salmonella_enterica_X	CP053581	9000017	28901
Serratia_liquefaciens	CP006252	614	613
Shewanella_halifaxensis	CP000931	271098	22
Shewanella_oneidensis	AE014299	70863	22
Shewanella_woodyi	CP000961	60961	22
Shimwellia_blattae	CP001560	563	1335483
Sinorhizobium_fredii	CP001389	380	663276
Sinorhizobium_medicae	CP000738	110321	28105
Sinorhizobium_meliloti	AL591688	382	28105
Solanum_lycopersicum	MF034192	4081	49274
Staphylococcus_aureus	CP009554	46170	1280
Staphylococcus_epidermidis	AE015929	1282	1279
Streptococcus_agalactiae	AE009948	1311	1301
Streptococcus_mitis	FN568063	28037	1301
Streptococcus_mutans	AE014133	1309	1301
Streptococcus_pneumoniae	CP000936	487214	1313
Streptococcus_pyogenes	AE004092	1314	1301
Streptococcus_sanguinis	CP000387	1305	1301
Sus_scrofa	FJ236999	9823	9822
Streptococcus_suis	FM252032	1307	1301
Synechococcus	CP000951	32049	2626047
Thermanaerovibrio_acidaminovorans	CP001818	81462	81461
Thermoanaerobacter_pseudethanolicus	CP000924	496866	1754
Thermodesulfovibrio_yellowstonii	CP001147	28262	28261
Thermosynechococcus_elongatus	BA000039	146786	146785
Thermotoga_maritima	AE000512	2336	2335
Thermus_thermophilus	AP008226	274	270
Thunnus_alalunga	AB101291	8235	8234
Treponema_denticola	AE017226	158	157
Ureaplasma_parvum	CP000942	134821	2129
Vibrio_alginolyticus	CP035699	663	717610
Vibrio_alginolyticus	CP035700	663	717610
Vibrio_cholerae_O1	CP038178	127906	666
Vibrio_cholerae_O1	CP038179	127906	666
Vibrio_cidicii	CP046804	1763883	662
Vibrio_cidicii	CP046803	1763883	662
Vibrio_cincinnatiensis	CP035697	675	662
Vibrio_cincinnatiensis	CP035698	675	662
Vibrio_fluvialis	CP051126	676	662
Vibrio_fluvialis	CP051127	676	662
Vibrio_furnissii	CP046797	29494	662
Vibrio_furnissii	CP046798	29494	662
Vibrio_harveyi	CP035692	669	717610
Vibrio_harveyi	CP035693	669	717610
Vibrio_metoecus	CP046817	1481663	662
Vibrio_metoecus	CP046818	1481663	662
Vibrio_metschnikovii	CP035684	28172	662
Vibrio_metschnikovii	CP035685	28172	662
Vibrio_mimicus	CP035682	674	662
Vibrio_mimicus	CP035683	674	662
Vibrio_navarrensis	CP046791	29495	662
Vibrio_navarrensis	CP046792	29495	662
Vibrio_parahaemolyticus	CP046828	670	717610
Vibrio_parahaemolyticus	CP046827	670	717610
Vibrio_vulnificus	CP046832	672	662
Vibrio_vulnificus	CP046833	672	662
Vicia_faba	KC189947	3906	3904
Xanthomonas_campestris	AE008922	339	338
Xylella_fastidiosa	CP000941	405440	2371
Yersinia_aldovae	CP009781	29483	629
Yersinia_bercovieri	CP054044	634	629
Yersinia_enterocolitica	CP002246	630	629
Yersinia_canariae	CP043727	2607663	629
Yersinia_frederiksenii	CP023962	29484	629
Yersinia_enterocolitica	AM286415	630	629
Yersinia_hibernica	CP032487	2339259	629
Yersinia_intermedia	CP009801	631	629
Yersinia_kristensenii	CP054049	631	629
Yersinia_massiliensis	CP054048	33060	629
Yersinia_mollaretii	CP054043	33060	629
Yersinia_pseudotuberculosis	CP009712	502800	633
Yersinia_rochesterensis	CP032482	1604335	629
Yersinia_rohdei	CP009787	29485	629
